epoca,train_loss,val_loss
1,0.22026388210909706,0.18418833863946188
2,0.191449341461772,0.18528454193631105
3,0.18576028159686497,0.17498959093231015
4,0.1726694508109774,0.15818649780961264
5,0.1521211234160832,0.13616494452003883
6,0.1347340746720632,0.1220452604172504
7,0.11510807441813606,0.09957344586079099
8,0.09893636128732136,0.09808933725003648
9,0.0922883962733405,0.09110778433361412
10,0.08169314229772204,0.09091438893723276
11,0.07789390438369342,0.085792259478002
12,0.07106747547785441,0.08315852848170079
13,0.07038934761569614,0.08160917431247973
14,0.06299398033391862,0.07801671430007019
15,0.05784538629509154,0.07371981471645093
16,0.05468334137683823,0.07397465125979048
17,0.05371605599210376,0.07426128273549597
18,0.049121152226414,0.07290225653225078
19,0.045522141328879766,0.07499634047591053
20,0.04394716552325657,0.08021118991752774
21,0.04213797508251099,0.08448987175603356
22,0.04083603225293614,0.07430578461658638
23,0.036964345709198994,0.07639633723641787
24,0.0375862994151456,0.08406026143605401
25,0.03661870348311606,0.09098693200354094
26,0.03780946059595971,0.07712090661980014
27,0.03237618858260768,0.07669608763921841
28,0.03174418623248736,0.08395697951597055
29,0.033253478273039774,0.08396440285641238
30,0.03271482211138521,0.0774087321715825
